INSERT INTO fa22_sg_customer (customer_id, email, password, first_name, last_name, segment, security_answer, security_question_id) VALUES 
('NP-1832582', 'np1570@nyu.edu', '1234qwer', 'Naresj', 'Patel', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('VD-2167039', 'vd3484@nyu.edu', '1234qwer', 'Valerie', 'Dominguez', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('PB-19210127', 'pb30191@nyu.edu', '1234qwer', 'Phillip', 'Breyer', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('EB-1411048', 'eb11645@nyu.edu', '1234qwer', 'Eugene', 'Barchas', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('AH-100301406', 'ah38460@nyu.edu', '1234qwer', 'Aaron', 'Hawkins', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('BP-1123058', 'bp22999@nyu.edu', '1234qwer', 'Benjamin', 'Patterson', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('RR-1952536', 'rr220@nyu.edu', '1234qwer', 'Rick', 'Reed', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('BS-1136545', 'bs10648@nyu.edu', '1234qwer', 'Bill', 'Shonely', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('AH-100301404', 'ah40977@nyu.edu', '1234qwer', 'Aaron', 'Hawkins', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('DP-131057', 'dp21286@nyu.edu', '1234qwer', 'Dave', 'Poirier', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('AH-1003033', 'ah47905@nyu.edu', '1234qwer', 'Aaron', 'Hawkins', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('PO-18865139', 'po15380@nyu.edu', '1234qwer', 'Patrick', 'O\'Donnell', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('DL-128657', 'dl28046@nyu.edu', '1234qwer', 'Dan', 'Lawera', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('JB-1600059', 'jb21316@nyu.edu', '1234qwer', 'Joy', 'Bell-', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('BF-1100558', 'bf29272@nyu.edu', '1234qwer', 'Barry', 'Franz', 'Home Office', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('VG-2180558', 'vg25795@nyu.edu', '1234qwer', 'Vivek', 'Grady', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('GT-14710139', 'gt16681@nyu.edu', '1234qwer', 'Greg', 'Tran', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('ZC-2191048', 'zc15953@nyu.edu', '1234qwer', 'Zuschuss', 'Carroll', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('AH-100301408', 'ah34608@nyu.edu', '1234qwer', 'Aaron', 'Hawkins', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('EB-1384045', 'eb13847@nyu.edu', '1234qwer', 'Ellis', 'Ballard', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('AP-1091527', 'ap24341@nyu.edu', '1234qwer', 'Arthur', 'Prichep', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('SW-2027558', 'sw28701@nyu.edu', '1234qwer', 'Scott', 'Williamson', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('JH-15820141', 'jh6550@nyu.edu', '1234qwer', 'John', 'Huston', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('TG-1164060', 'tg48360@nyu.edu', '1234qwer', 'Trudy', 'Glocke', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('DG-330087', 'dg42336@nyu.edu', '1234qwer', 'Deirdre', 'Greer', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('SG-2047058', 'sg29047@nyu.edu', '1234qwer', 'Sheri', 'Gordon', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('GP-1474058', 'gp29601@nyu.edu', '1234qwer', 'Guy', 'Phonely', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('MW-182207', 'mw23499@nyu.edu', '1234qwer', 'Mitch', 'Webber', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('CS-1246011', 'cs26634@nyu.edu', '1234qwer', 'Chuck', 'Sachs', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('MS-1798048', 'ms10522@nyu.edu', '1234qwer', 'Michael', 'Stewart', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('KC-1667548', 'kc10549@nyu.edu', '1234qwer', 'Kimberly', 'Carter', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('DB-1340527', 'db25314@nyu.edu', '1234qwer', 'Denny', 'Blanton', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('AS-100451408', 'as32637@nyu.edu', '1234qwer', 'Aaron', 'Smayling', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('DK-13090120', 'dk16653@nyu.edu', '1234qwer', 'Dave', 'Kipp', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('CS-1184558', 'cs28932@nyu.edu', '1234qwer', 'Cari', 'Sayre', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('EM-1420082', 'em8029@nyu.edu', '1234qwer', 'Evan', 'Minnotte', 'Home Office', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('DW-3480137', 'dw50411@nyu.edu', '1234qwer', 'Dianna', 'Wilson', 'Home Office', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('AS-1022527', 'as21191@nyu.edu', '1234qwer', 'Alan', 'Schoenberger', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('ST-2053093', 'st4960@nyu.edu', '1234qwer', 'Shui', 'Tom', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('BW-106533', 'bw49085@nyu.edu', '1234qwer', 'Barry', 'Weirich', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('LA-1678059', 'la21209@nyu.edu', '1234qwer', 'Laura', 'Armstrong', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('AB-10150139', 'ab12161@nyu.edu', '1234qwer', 'Aimee', 'Bixby', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('JH-158207', 'jh25438@nyu.edu', '1234qwer', 'John', 'Huston', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('AS-100451402', 'as33130@nyu.edu', '1234qwer', 'Aaron', 'Smayling', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('BE-1141048', 'be16988@nyu.edu', '1234qwer', 'Bobby', 'Elias', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('SZ-2003527', 'sz24443@nyu.edu', '1234qwer', 'Sam', 'Zeldin', 'Home Office', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('RM-1937558', 'rm30199@nyu.edu', '1234qwer', 'Raymond', 'Messe', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('HG-1484545', 'hg13879@nyu.edu', '1234qwer', 'Harry', 'Greene', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('DP-310586', 'dp50788@nyu.edu', '1234qwer', 'Dave', 'Poirier', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('AS-100451404', 'as40834@nyu.edu', '1234qwer', 'Aaron', 'Smayling', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('JB-1600048', 'jb18241@nyu.edu', '1234qwer', 'Joy', 'Bell-', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('AM-1070559', 'am23013@nyu.edu', '1234qwer', 'Anne', 'McFarland', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('AB-25586', 'ab45616@nyu.edu', '1234qwer', 'Alejandro', 'Ballentine', 'Home Office', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('RP-192707', 'rp25026@nyu.edu', '1234qwer', 'Rachel', 'Payne', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('BK-1126011', 'bk27962@nyu.edu', '1234qwer', 'Berenike', 'Kampe', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('JM-1525027', 'jm26669@nyu.edu', '1234qwer', 'Janet', 'Martin', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('NZ-1856545', 'nz19195@nyu.edu', '1234qwer', 'Nick', 'Zandusky', 'Home Office', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('SC-20695102', 'sc26731@nyu.edu', '1234qwer', 'Steve', 'Chapman', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('NC-186257', 'nc31278@nyu.edu', '1234qwer', 'Noah', 'Childs', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('NF-183858', 'nf12035@nyu.edu', '1234qwer', 'Natalie', 'Fritzler', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('NZ-185657', 'nz29149@nyu.edu', '1234qwer', 'Nick', 'Zandusky', 'Home Office', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('PM-1894045', 'pm15896@nyu.edu', '1234qwer', 'Paul', 'MacIntyre', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('MZ-1733545', 'mz18307@nyu.edu', '1234qwer', 'Maria', 'Zettner', 'Home Office', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('HM-498033', 'hm46257@nyu.edu', '1234qwer', 'Henry', 'MacAllister', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('RW-195407', 'rw21142@nyu.edu', '1234qwer', 'Rick', 'Wilson', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('LH-1715545', 'lh10308@nyu.edu', '1234qwer', 'Logan', 'Haushalter', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('FH-1436582', 'fh6776@nyu.edu', '1234qwer', 'Fred', 'Hopkins', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('KM-1666048', 'km16948@nyu.edu', '1234qwer', 'Khloe', 'Miller', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('PO-1886545', 'po11611@nyu.edu', '1234qwer', 'Patrick', 'O\'Donnell', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('AS-100451406', 'as35876@nyu.edu', '1234qwer', 'Aaron', 'Smayling', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('AB-1006028', 'ab1873@nyu.edu', '1234qwer', 'Adam', 'Bellavance', 'Home Office', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('DB-130607', 'db29120@nyu.edu', '1234qwer', 'Dave', 'Brooks', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('VM-2168591', 'vm11743@nyu.edu', '1234qwer', 'Valerie', 'Mitchum', 'Home Office', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('DM-1352548', 'dm17522@nyu.edu', '1234qwer', 'Don', 'Miller', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('NM-18520120', 'nm14721@nyu.edu', '1234qwer', 'Neoma', 'Murray', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('LC-168857', 'lc29629@nyu.edu', '1234qwer', 'Lena', 'Creighton', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('RO-1978027', 'ro25868@nyu.edu', '1234qwer', 'Rose', 'O\'Brian', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('EM-1406548', 'em19559@nyu.edu', '1234qwer', 'Erin', 'Mull', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('ON-1871545', 'on14070@nyu.edu', '1234qwer', 'Odella', 'Nelson', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('VS-2182027', 'vs21306@nyu.edu', '1234qwer', 'Vivek', 'Sundaresam', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('CM-121157', 'cm21668@nyu.edu', '1234qwer', 'Chad', 'McGuire', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('AB-100601404', 'ab39465@nyu.edu', '1234qwer', 'Adam', 'Bellavance', 'Home Office', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('AB-100601406', 'ab31650@nyu.edu', '1234qwer', 'Adam', 'Bellavance', 'Home Office', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('JK-153257', 'jk24260@nyu.edu', '1234qwer', 'Jason', 'Klamczynski', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('RP-1927045', 'rp13646@nyu.edu', '1234qwer', 'Rachel', 'Payne', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('DW-1354078', 'dw23708@nyu.edu', '1234qwer', 'Don', 'Weiss', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('AB-100601408', 'ab33661@nyu.edu', '1234qwer', 'Adam', 'Bellavance', 'Home Office', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('GM-1444037', 'gm1779@nyu.edu', '1234qwer', 'Gary', 'McGarr', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('SV-2081558', 'sv23880@nyu.edu', '1234qwer', 'Stuart', 'Van', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('MM-1792027', 'mm27094@nyu.edu', '1234qwer', 'Michael', 'Moore', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('JK-1612059', 'jk24424@nyu.edu', '1234qwer', 'Julie', 'Kriz', 'Home Office', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('EM-14200130', 'em22049@nyu.edu', '1234qwer', 'Evan', 'Minnotte', 'Home Office', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('AB-100601402', 'ab40796@nyu.edu', '1234qwer', 'Adam', 'Bellavance', 'Home Office', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('PM-1894059', 'pm23815@nyu.edu', '1234qwer', 'Paul', 'MacIntyre', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('AT-1043582', 'at8009@nyu.edu', '1234qwer', 'Alyssa', 'Tate', 'Home Office', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('AB-1001527', 'ab30267@nyu.edu', '1234qwer', 'Aaron', 'Bergman', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('PV-1898518', 'p2283@nyu.edu', '1234qwer', 'Paul', '', 'Home Office', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('SB-2029064', 'sb17765@nyu.edu', '1234qwer', 'Sean', 'Braxton', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('SM-10005116', 'sm47783@nyu.edu', '1234qwer', 'Sally', 'Matthias', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('KH-1633059', 'kh23175@nyu.edu', '1234qwer', 'Katharine', 'Harms', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('MP-181757', 'mp27693@nyu.edu', '1234qwer', 'Mike', 'Pelletier', 'Home Office', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('LH-1702027', 'lh22134@nyu.edu', '1234qwer', 'Lisa', 'Hazard', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('CR-126257', 'cr22488@nyu.edu', '1234qwer', 'Corey', 'Roper', 'Home Office', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('NC-1862511', 'nc25678@nyu.edu', '1234qwer', 'Noah', 'Childs', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('GM-1468091', 'gm15376@nyu.edu', '1234qwer', 'Greg', 'Matthias', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('RA-1994545', 'ra15162@nyu.edu', '1234qwer', 'Ryan', 'Akin', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('DB-1306048', 'db18899@nyu.edu', '1234qwer', 'Dave', 'Brooks', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('RF-197357', 'rf24160@nyu.edu', '1234qwer', 'Roland', 'Fjeld', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('JH-1582048', 'jh15812@nyu.edu', '1234qwer', 'John', 'Huston', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('DM-1295551', 'dm6449@nyu.edu', '1234qwer', 'Dario', 'Medina', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('BE-1133582', 'be4394@nyu.edu', '1234qwer', 'Bill', 'Eplett', 'Home Office', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('SO-2033527', 'so22058@nyu.edu', '1234qwer', 'Sean', 'O\'Donnell', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('DK-12835120', 'dk19833@nyu.edu', '1234qwer', 'Damala', 'Kotsonis', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('LC-7050110', 'lc45807@nyu.edu', '1234qwer', 'Liz', 'Carlisle', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('CG-125207', 'cg29484@nyu.edu', '1234qwer', 'Claire', 'Gute', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('HG-1502559', 'hg24015@nyu.edu', '1234qwer', 'Hunter', 'Glantz', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('AD-1018059', 'ad20601@nyu.edu', '1234qwer', 'Alan', 'Dominguez', 'Home Office', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('BP-11155139', 'bp12051@nyu.edu', '1234qwer', 'Becky', 'Pak', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('AA-10480130', 'aa25915@nyu.edu', '1234qwer', 'Andrew', 'Allen', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('RL-196157', 'rl21639@nyu.edu', '1234qwer', 'Rob', 'Lucas', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('SW-2024559', 'sw23229@nyu.edu', '1234qwer', 'Scot', 'Wooten', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('BW-1111027', 'bw20674@nyu.edu', '1234qwer', 'Bart', 'Watters', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('YC-21895139', 'yc11331@nyu.edu', '1234qwer', 'Yoseph', 'Carroll', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('JM-1558082', 'jm58@nyu.edu', '1234qwer', 'Jill', 'Matthias', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('MZ-733513', 'mz45091@nyu.edu', '1234qwer', 'Maria', 'Zettner', 'Home Office', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('JF-15295120', 'jf18990@nyu.edu', '1234qwer', 'Jason', 'Fortune-', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('DJ-3510137', 'dj51130@nyu.edu', '1234qwer', 'Don', 'Jones', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('MF-1825045', 'mf14405@nyu.edu', '1234qwer', 'Monica', 'Federle', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('TC-2129545', 'tc10745@nyu.edu', '1234qwer', 'Toby', 'Carlisle', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('CP-1234058', 'cp25850@nyu.edu', '1234qwer', 'Christine', 'Phan', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('EH-1412545', 'eh16109@nyu.edu', '1234qwer', 'Eugene', 'Hildebrand', 'Home Office', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('NC-183407', 'nc22515@nyu.edu', '1234qwer', 'Nat', 'Carroll', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('JS-1603059', 'js29651@nyu.edu', '1234qwer', 'Joy', 'Smith', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('AM-10360139', 'am10670@nyu.edu', '1234qwer', 'Alice', 'McCarthy', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('JF-1519021', 'jf24859@nyu.edu', '1234qwer', 'Jamie', 'Frazer', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('AB-100157', 'ab24466@nyu.edu', '1234qwer', 'Aaron', 'Bergman', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('JG-15160139', 'jg15359@nyu.edu', '1234qwer', 'James', 'Galang', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('AH-100751406', 'ah39745@nyu.edu', '1234qwer', 'Adam', 'Hart', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('AG-1033059', 'ag21670@nyu.edu', '1234qwer', 'Alex', 'Grayson', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('NF-1847548', 'nf17548@nyu.edu', '1234qwer', 'Neil', 'Französisch', 'Home Office', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('DR-129407', 'dr20861@nyu.edu', '1234qwer', 'Daniel', 'Raglin', 'Home Office', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('NB-1865548', 'nb17907@nyu.edu', '1234qwer', 'Nona', 'Balk', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('NM-1844527', 'nm24361@nyu.edu', '1234qwer', 'Nathan', 'Mautz', 'Home Office', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('TA-213857', 'ta29968@nyu.edu', '1234qwer', 'Tom', 'Ashbrook', 'Home Office', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('SC-20380102', 'sc28875@nyu.edu', '1234qwer', 'Shahid', 'Collister', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
